"filename", "language", "JavaScript", "JSON", "JavaScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\HOC.jsx", "JavaScript JSX", 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ModuleInfo.js", "JavaScript", 323, 0, 0, 0, 0, 2, 6, 331
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ModuleInfo.module.css", "CSS", 0, 0, 0, 190, 0, 0, 16, 206
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\PreviewBachelor.js", "JavaScript", 83, 0, 0, 0, 0, 0, 2, 85
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\PreviewBachelor.module.css", "CSS", 0, 0, 0, 110, 0, 0, 2, 112
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ProgramManage.js", "JavaScript", 86, 0, 0, 0, 0, 4, 1, 91
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ProgramManage.module.css", "CSS", 0, 0, 0, 106, 0, 0, 9, 115
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ProgramModules\ProgramModulesTable.js", "JavaScript", 314, 0, 0, 0, 0, 1, 17, 332
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\ProgramModules\ProgramModulesTable.module.css", "CSS", 0, 0, 0, 42, 0, 0, 0, 42
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\Speciality.js", "JavaScript", 146, 0, 0, 0, 0, 1, 6, 153
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\Speciality.module.css", "CSS", 0, 0, 0, 53, 0, 0, 2, 55
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddBook.js", "JavaScript", 97, 0, 0, 0, 0, 7, 3, 107
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddProgramModule.js", "JavaScript", 264, 0, 0, 0, 0, 1, 5, 270
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddProgramModule.module.css", "CSS", 0, 0, 0, 157, 0, 0, 12, 169
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\AddUnstructHours.js", "JavaScript", 68, 0, 0, 0, 0, 0, 4, 72
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\EditProgramModule.js", "JavaScript", 270, 0, 0, 0, 0, 1, 4, 275
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleAssesment.js", "JavaScript", 215, 0, 0, 0, 0, 1, 3, 219
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleInfo.js", "JavaScript", 358, 0, 0, 0, 0, 2, 5, 365
"c:\Users\Lenovo\Desktop\aps\src\components\Profiles\DepartmentProfile\Programs\add_program_module\ModuleInfo.module.css", "CSS", 0, 0, 0, 202, 0, 0, 17, 219
